event,boundary_frame,timestamp_seconds,timestamp,preceding_shot_duration_seconds,chapter,transition_class,mean_abs_rgb,changed_fraction_gt20,changed_fraction_gt45,nearest_spoken_word,cut_minus_word_start_seconds
1,38,1.2667,00:01.267,1.2667,Cambrian,hard_cut_full_frame,0.379846,0.885694,0.832292,during,-0.0233
2,184,6.1333,00:06.133,4.8667,Cambrian,hard_cut_full_frame,0.37508,0.868767,0.763889,but,-0.0167
3,242,8.0667,00:08.067,1.9333,Cambrian,hard_cut_full_frame,0.380586,0.86934,0.779514,a,-0.0633
4,542,18.0667,00:18.067,10.0,Cambrian,hard_cut_full_frame,0.490392,0.887535,0.879201,when,-0.0533
5,781,26.0333,00:26.033,7.9667,Cambrian,hard_cut_full_frame,0.423768,0.782656,0.773194,it,-0.0367
6,887,29.5667,00:29.567,3.5333,Cambrian,hard_cut_same_palette,0.110447,0.351007,0.22276,around,-0.0433
7,947,31.5667,00:31.567,2.0,Cambrian,hard_cut_same_palette,0.086241,0.284635,0.161233,that,-0.0533
8,1078,35.9333,00:35.933,4.3667,Cambrian,hard_cut_full_frame,0.247176,0.870955,0.514462,this,-0.0367
9,1147,38.2333,00:38.233,2.3,Cambrian,hard_cut_same_palette,0.102151,0.263542,0.251476,millions,-0.0167
10,1177,39.2333,00:39.233,1.0,Cambrian,hard_cut_full_frame,0.231528,0.89467,0.509913,until,-0.0667
11,1217,40.5667,00:40.567,1.3333,Cambrian,hard_cut_full_frame,0.167249,0.693142,0.466337,ocean,-0.2033
12,1518,50.6,00:50.600,10.0333,Ordovician,hard_cut_full_frame,0.430556,0.887413,0.82783,or,-0.07
13,1558,51.9333,00:51.933,1.3333,Ordovician,hard_cut_full_frame,0.444534,0.895382,0.826875,the,-0.0267
14,1713,57.1,00:57.100,5.1667,Ordovician,hard_cut_same_palette,0.091806,0.191684,0.181233,the,-0.02
15,1766,58.8667,00:58.867,1.7667,Ordovician,hard_cut_same_palette,0.099411,0.217743,0.205278,belong,-0.0233
16,1842,61.4,01:01.400,2.5333,Ordovician,hard_cut_full_frame,0.122345,0.424653,0.333819,they,-0.04
17,1919,63.9667,01:03.967,2.5667,Ordovician,hard_cut_same_palette,0.111686,0.267882,0.25059,and,-0.0533
18,2039,67.9667,01:07.967,4.0,Ordovician,hard_cut_full_frame,0.161979,0.521476,0.37224,encased,-0.0433
19,2063,68.7667,01:08.767,0.8,Ordovician,hard_cut_same_palette,0.116673,0.363906,0.322274,a,0.0367
20,2181,72.7,01:12.700,3.9333,Ordovician,hard_cut_full_frame,0.473776,0.896441,0.874635,roughly,-0.05
21,2244,74.8,01:14.800,2.1,Ordovician,hard_cut_full_frame,0.457989,0.885382,0.85276,inside,-0.05
22,2633,87.7667,01:27.767,12.9667,Ordovician,hard_cut_same_palette,0.084543,0.333299,0.181215,instead,-0.0733
23,2905,96.8333,01:36.833,9.0667,Ordovician,hard_cut_full_frame,0.356579,0.883854,0.842934,eventually,-0.0667
24,2982,99.4,01:39.400,2.5667,Ordovician,hard_cut_full_frame,0.467448,0.883802,0.851181,temperatures,-0.02
25,3092,103.0667,01:43.067,3.6667,Ordovician,hard_cut_full_frame,0.235713,0.476962,0.448733,locking,-0.1033
26,3124,104.1333,01:44.133,1.0667,Ordovician,hard_cut_same_palette,0.036473,0.183924,0.062066,draining,-0.0267
27,3209,106.9667,01:46.967,2.8333,Ordovician,hard_cut_full_frame,0.216335,0.876649,0.574844,this,-0.0433
28,3287,109.5667,01:49.567,2.6,Ordovician,hard_cut_full_frame,0.177461,0.867101,0.619722,bringing,-0.0833
29,3311,110.3667,01:50.367,0.8,Ordovician,hard_cut_full_frame,0.142302,0.566406,0.408229,to,-0.0933
30,3330,111.0,01:51.000,0.6333,Ordovician,hard_cut_full_frame,0.212405,0.757274,0.428368,in,-0.03
31,3368,112.2667,01:52.267,1.2667,Ordovician,hard_cut_same_palette,0.10139,0.180729,0.168594,something,-0.0833
32,3382,112.7333,01:52.733,0.4667,Ordovician,localized_swap_or_pop,0.076622,0.155538,0.146337,faster,-0.0067
33,3507,116.9,01:56.900,4.1667,Ordovician,hard_cut_full_frame,0.428721,0.814097,0.747604,salary,-0.01
34,3548,118.2667,01:58.267,1.3667,Silurian,hard_cut_full_frame,0.352301,0.857101,0.745069,the,-0.0533
35,3602,120.0667,02:00.067,1.8,Silurian,hard_cut_full_frame,0.15889,0.616406,0.372639,and,-0.1133
36,3645,121.5,02:01.500,1.4333,Silurian,hard_cut_full_frame,0.146156,0.621823,0.286128,lagoons,-0.09
37,3777,125.9,02:05.900,4.4,Silurian,hard_cut_full_frame,0.198467,0.746701,0.531927,it's,-0.04
38,3934,131.1333,02:11.133,5.2333,Silurian,hard_cut_full_frame,0.463867,0.891927,0.880764,they,-0.0567
39,3995,133.1667,02:13.167,2.0333,Silurian,hard_cut_full_frame,0.46475,0.891719,0.882413,and,-0.0333
40,4056,135.2,02:15.200,2.0333,Silurian,localized_swap_or_pop,0.063659,0.168056,0.157587,one,-0.04
41,4175,139.1667,02:19.167,3.9667,Silurian,hard_cut_same_palette,0.10565,0.237882,0.224531,terry,-0.0333
42,4279,142.6333,02:22.633,3.4667,Silurian,hard_cut_same_palette,0.080338,0.225295,0.192795,at,-0.0467
43,4449,148.3,02:28.300,5.6667,Silurian,hard_cut_same_palette,0.068809,0.218177,0.173628,they,-0.05
44,4890,163.0,02:43.000,14.7,Silurian,hard_cut_same_palette,0.08269,0.258889,0.213073,this,-0.05
