event,boundary_frame,timestamp_seconds,timestamp,preceding_shot_duration_seconds,chapter,transition_class,mean_abs_rgb,changed_fraction_gt20,changed_fraction_gt45,nearest_spoken_word,cut_minus_word_start_seconds
1,56,1.8667,00:01.867,1.8667,The Ambulance Attack,hard_cut_same_palette,0.219588,0.408507,0.386198,in,-0.0833
2,98,3.2667,00:03.267,1.4,The Ambulance Attack,hard_cut_full_frame,0.702467,0.879878,0.865156,a,-0.0633
3,254,8.4667,00:08.467,5.2,The Ambulance Attack,hard_cut_full_frame,0.336746,0.843021,0.792552,the,-0.0533
4,399,13.3,00:13.300,4.8333,The Ambulance Attack,hard_cut_full_frame,0.343013,0.846337,0.800017,that,-0.08
5,429,14.3,00:14.300,1.0,The Ambulance Attack,hard_cut_full_frame,0.392639,0.858472,0.818733,and,-0.04
6,481,16.0333,00:16.033,1.7333,The Ambulance Attack,hard_cut_same_palette,0.159742,0.353212,0.316667,he,-0.0767
7,521,17.3667,00:17.367,1.3333,The Ambulance Attack,hard_cut_same_palette,0.156414,0.362066,0.330816,what,-0.0333
8,537,17.9,00:17.900,0.5333,The Ambulance Attack,hard_cut_same_palette,0.0822,0.220903,0.013594,did,-0.04
9,623,20.7667,00:20.767,2.8667,The Ambulance Attack,hard_cut_full_frame,0.361864,0.863524,0.846962,was,-0.0533
10,811,27.0333,00:27.033,6.2667,The Ambulance Attack,hard_cut_full_frame,0.324818,0.857431,0.795885,capable,-0.0267
11,894,29.8,00:29.800,2.7667,The Ambulance Attack,hard_cut_full_frame,0.264015,0.865955,0.647014,she,-0.05
12,1064,35.4667,00:35.467,5.6667,The Ambulance Attack,hard_cut_full_frame,0.346776,0.877222,0.651875,the,-0.0533
13,1179,39.3,00:39.300,3.8333,The Ambulance Attack,hard_cut_full_frame,0.296206,0.82059,0.719618,with,-0.06
14,1524,50.8,00:50.800,11.5,The Ambulance Attack,hard_cut_full_frame,0.378269,0.854288,0.815278,then,-0.05
15,1775,59.1667,00:59.167,8.3667,The Ambulance Attack,hard_cut_full_frame,0.388324,0.850764,0.803681,the,-0.0533
16,1840,61.3333,01:01.333,2.1667,The Ambulance Attack,hard_cut_full_frame,0.284878,0.760503,0.689913,and,-0.0467
17,1892,63.0667,01:03.067,1.7333,The Ambulance Attack,hard_cut_full_frame,0.161144,0.536545,0.277118,she,-0.0533
18,1983,66.1,01:06.100,3.0333,The Ambulance Attack,hard_cut_full_frame,0.204292,0.570903,0.326024,her,-0.02
19,2135,71.1667,01:11.167,5.0667,Bishnu Shrestha's Train,hard_cut_full_frame,0.339355,0.834931,0.758472,bishnu,-0.0533
20,2158,71.9333,01:11.933,0.7667,Bishnu Shrestha's Train,hard_cut_same_palette,0.113373,0.293767,0.218403,shrestha,0.1433
21,2205,73.5,01:13.500,1.5667,Bishnu Shrestha's Train,hard_cut_full_frame,0.324533,0.606979,0.546389,on,-0.03
22,2266,75.5333,01:15.533,2.0333,Bishnu Shrestha's Train,hard_cut_full_frame,0.496547,0.888802,0.887604,a,-0.0667
23,2331,77.7,01:17.700,2.1667,Bishnu Shrestha's Train,hard_cut_full_frame,0.326214,0.737344,0.621493,boarded,-0.03
24,2433,81.1,01:21.100,3.4,Bishnu Shrestha's Train,hard_cut_full_frame,0.32564,0.754792,0.641372,they,-0.05
25,2610,87.0,01:27.000,5.9,Bishnu Shrestha's Train,hard_cut_full_frame,0.188703,0.478333,0.420677,and,-0.06
26,2695,89.8333,01:29.833,2.8333,Bishnu Shrestha's Train,hard_cut_full_frame,0.199695,0.493142,0.43533,then,-0.0467
27,3111,103.7,01:43.700,13.8667,Bishnu Shrestha's Train,hard_cut_same_palette,0.066344,0.221476,0.161667,what,-0.04
28,3217,107.2333,01:47.233,3.5333,Bishnu Shrestha's Train,hard_cut_full_frame,0.484196,0.879288,0.861806,bishnu,-0.0467
29,3274,109.1333,01:49.133,1.9,Bishnu Shrestha's Train,hard_cut_full_frame,0.271179,0.53316,0.47526,the,0.0533
30,3334,111.1333,01:51.133,2.0,Bishnu Shrestha's Train,hard_cut_full_frame,0.28146,0.612882,0.510833,one,-0.0467
