shot,start_frame,end_frame_exclusive,start_seconds,end_seconds,start_timecode,end_timecode,duration_seconds,chapter,motion_class,sampled_mean_abs_rgb,sampled_changed_fraction,global_translation_total_pct,global_scale_speed_pct_per_s,valid,scale,scale_delta_pct,rotation_deg,translation_x_pct,translation_y_pct,inlier_ratio,residual_mean_abs,residual_changed_fraction
1,0,53,0.0,1.7667,00:00.000,00:01.767,1.7667,Sigurd the Mighty,character_or_graphic_animation,0.189365,0.396007,39.8532,25.7286,True,1.454538,45.4538,-0.0361,29.6043,26.6807,0.80233,0.522829,0.645694
2,53,125,1.7667,4.1667,00:01.767,00:04.167,2.4,Sigurd the Mighty,subtle_local_motion,0.009126,0.015564,0.0174,-0.0032,True,0.999923,-0.0077,0.0069,-0.0064,0.0162,0.98729,0.018847,0.031163
3,125,225,4.1667,7.5,00:04.167,00:07.500,3.3333,Sigurd the Mighty,subtle_local_motion,0.0086,0.027196,0.0146,0.0064,True,1.000214,0.0214,0.0069,-0.0101,-0.0106,0.99256,0.002969,0.00809
4,225,321,7.5,10.7,00:07.500,00:10.700,3.2,Sigurd the Mighty,character_or_graphic_animation,0.037992,0.060469,95.8433,0.0047,False,1.000151,0.0151,-90.5676,92.7685,-24.0822,0.46535,0.470345,0.549705
5,321,399,10.7,13.3,00:10.700,00:13.300,2.6,Sigurd the Mighty,subtle_local_motion,0.015901,0.026016,0.0,0.0,True,1.0,0.0,-0.0,0.0,0.0,0.99423,0.030915,0.052031
6,399,513,13.3,17.1,00:13.300,00:17.100,3.8,Sigurd the Mighty,frozen_hold,0.004747,0.010573,0.0061,0.0017,True,1.000064,0.0064,-0.0003,-0.0029,-0.0054,0.9937,0.008246,0.020833
7,513,605,17.1,20.1667,00:17.100,00:20.167,3.0667,Sigurd the Mighty,character_or_graphic_animation,0.073551,0.133333,10.5204,0.0127,True,1.000388,0.0388,0.0328,-10.5204,0.0314,0.48387,0.162243,0.276285
8,605,659,20.1667,21.9667,00:20.167,00:21.967,1.8,Sigurd the Mighty,frozen_hold,0.003538,0.006597,0.0017,0.0008,True,1.000015,0.0015,0.0004,-0.0017,0.0002,0.99696,0.005989,0.013194
9,659,738,21.9667,24.6,00:21.967,00:24.600,2.6333,Sigurd the Mighty,frozen_hold,0.001652,0.003203,0.0,0.0,True,1.0,0.0,-0.0,0.0,0.0,0.99788,0.002794,0.006406
10,738,809,24.6,26.9667,00:24.600,00:26.967,2.3667,Sigurd the Mighty,character_or_graphic_animation,0.042615,0.083846,0.0822,0.0686,True,1.001623,0.1623,0.0408,-0.0432,-0.0699,0.68085,0.089516,0.190365
11,809,936,26.9667,31.2,00:26.967,00:31.200,4.2333,Sigurd the Mighty,character_or_graphic_animation,0.093071,0.181918,13.2125,-4.951,True,0.790409,-20.9591,5.9267,13.0722,-1.9201,0.52632,0.427761,0.701354
12,936,1016,31.2,33.8667,00:31.200,00:33.867,2.6667,Sigurd the Mighty,subtle_local_motion,0.010216,0.015208,0.0075,0.0009,True,1.000025,0.0025,-0.0057,0.0026,-0.007,0.98862,0.020446,0.030417
13,1016,1040,33.8667,34.6667,00:33.867,00:34.667,0.8,Sigurd the Mighty,character_or_graphic_animation,0.02013,0.054801,0.0818,0.2506,True,1.002005,0.2005,-0.0405,-0.0674,0.0463,0.85992,0.035233,0.109444
14,1040,1200,34.6667,40.0,00:34.667,00:40.000,5.3333,Sigurd the Mighty,subtle_local_motion,0.009689,0.023897,0.0424,0.0047,True,1.000251,0.0251,-0.0149,-0.01,-0.0412,0.98567,0.010921,0.031667
15,1200,1336,40.0,44.5333,00:40.000,00:44.533,4.5333,Sigurd the Mighty,character_or_graphic_animation,0.032311,0.064167,0.0,0.0,True,1.0,0.0,-0.0,0.0,0.0,0.41379,0.05808,0.111997
16,1336,1447,44.5333,48.2333,00:44.533,00:48.233,3.7,Sigurd the Mighty,frozen_hold,0.004286,0.006857,0.0179,0.0082,True,1.000305,0.0305,-0.0089,-0.0095,-0.0152,0.99257,0.009229,0.013733
17,1447,1462,48.2333,48.7333,00:48.233,00:48.733,0.5,Dian Wei,character_or_graphic_animation,0.167917,0.395564,17.0146,-0.1296,True,0.999352,-0.0648,0.0252,-17.0144,0.0902,0.95984,0.133352,0.207813
18,1462,1488,48.7333,49.6,00:48.733,00:49.600,0.8667,Dian Wei,whole_canvas_slide,0.089348,0.229037,7.7807,0.01,True,1.000087,0.0087,-0.0097,-7.7806,-0.0313,0.95546,0.058089,0.080399
19,1488,1592,49.6,53.0667,00:49.600,00:53.067,3.4667,Dian Wei,frozen_hold,0.006711,0.012023,0.0257,0.0089,True,1.00031,0.031,0.0174,-0.0238,0.0098,0.97727,0.012229,0.024028
20,1592,1674,53.0667,55.8,00:53.067,00:55.800,2.7333,Dian Wei,frozen_hold,0.000968,0.003073,0.0455,-0.0167,True,0.999544,-0.0456,0.0062,0.0172,0.0421,0.99462,0.003379,0.007656
21,1674,1849,55.8,61.6333,00:55.800,01:01.633,5.8333,Dian Wei,character_or_graphic_animation,0.043201,0.082153,0.0,0.0,False,1.0,0.0,-0.0,0.0,0.0,0.30303,0.073582,0.14066
22,1849,1956,61.6333,65.2,01:01.633,01:05.200,3.5667,Dian Wei,character_or_graphic_animation,0.040624,0.056146,0.0237,0.0067,True,1.000239,0.0239,-0.0041,-0.0139,-0.0192,0.78187,0.054811,0.068819
23,1956,2160,65.2,72.0,01:05.200,01:12.000,6.8,Dian Wei,character_or_graphic_animation,0.036808,0.046997,17.0494,-1.8552,True,0.873848,-12.6152,-10.439,3.4603,-16.6946,0.45455,0.354121,0.378767
24,2160,2195,72.0,73.1667,01:12.000,01:13.167,1.1667,Dian Wei,frozen_hold,0.000163,0.0,0.0004,-0.0007,True,0.999992,-0.0008,-0.0006,-0.0002,0.0003,1.0,0.000141,0.0
25,2195,2224,73.1667,74.1333,01:13.167,01:14.133,0.9667,Dian Wei,frozen_hold,1.1e-05,0.0,0.0051,-0.0053,True,0.999949,-0.0051,0.0021,0.0016,0.0048,1.0,2.1e-05,0.0
26,2224,2292,74.1333,76.4,01:14.133,01:16.400,2.2667,Dian Wei,character_or_graphic_animation,0.014858,0.070764,0.0431,-0.0027,True,0.999939,-0.0061,-0.0291,0.009,-0.0421,0.60403,0.02778,0.141233
27,2292,2427,76.4,80.9,01:16.400,01:20.900,4.5,Dian Wei,character_or_graphic_animation,0.045297,0.080911,22.7616,-0.0447,True,0.997987,-0.2013,-0.0311,-22.7615,0.061,0.88673,0.273982,0.34941
28,2427,2795,80.9,93.1667,01:20.900,01:33.167,12.2667,Dian Wei,character_or_graphic_animation,0.022238,0.102049,4.0049,0.0023,True,1.00028,0.028,-1.4813,0.2841,-3.9948,0.6555,0.056614,0.217361
29,2795,3059,93.1667,101.9667,01:33.167,01:41.967,8.8,Dian Wei,character_or_graphic_animation,0.085141,0.21138,0.0,0.0,False,1.0,0.0,0.0,0.0,0.0,0.31481,0.082636,0.212222
30,3059,3172,101.9667,105.7333,01:41.967,01:45.733,3.7667,Dian Wei,character_or_graphic_animation,0.01304,0.031936,36.5958,-0.0412,True,0.998447,-0.1553,-0.1553,36.5958,-0.0271,0.9097,0.241771,0.45151
31,3172,3547,105.7333,118.2333,01:45.733,01:58.233,12.5,Dian Wei,character_or_graphic_animation,0.032157,0.077916,6.9845,-0.0913,True,0.98859,-1.141,0.8366,0.413,6.9723,0.53103,0.217391,0.540017
32,3547,3553,118.2333,118.4333,01:58.233,01:58.433,0.2,Emperor Valerian,whole_canvas_slide,0.115733,0.298134,2.6549,0.243,True,1.000486,0.0486,-0.0021,-2.6547,-0.0294,0.97329,0.03284,0.088507
33,3553,3565,118.4333,118.8333,01:58.433,01:58.833,0.4,Emperor Valerian,character_or_graphic_animation,0.178695,0.45053,14.326,0.0055,True,1.000022,0.0022,-0.0217,-14.3259,-0.0513,0.96468,0.106617,0.148611
34,3565,3598,118.8333,119.9333,01:58.833,01:59.933,1.1,Emperor Valerian,whole_canvas_slide,0.068057,0.177978,2.9911,-0.0183,True,0.999799,-0.0201,-0.0079,-2.9911,0.0011,0.94883,0.035771,0.080278
35,3598,3685,119.9333,122.8333,01:59.933,02:02.833,2.9,Emperor Valerian,frozen_hold,0.005838,0.015078,0.0386,0.0121,True,1.00035,0.035,0.0257,-0.0386,-0.0009,1.0,0.014659,0.033264
36,3685,3737,122.8333,124.5667,02:02.833,02:04.567,1.7333,Emperor Valerian,frozen_hold,0.003242,0.004479,0.0013,-0.0002,True,0.999996,-0.0004,0.0012,-0.0005,0.0012,0.98642,0.006371,0.008958
37,3737,3852,124.5667,128.4,02:04.567,02:08.400,3.8333,Emperor Valerian,frozen_hold,0.006749,0.015868,0.0073,0.0021,True,1.000079,0.0079,0.0048,-0.0071,-0.0016,0.99213,0.011743,0.027934
38,3852,3886,128.4,129.5333,02:08.400,02:09.533,1.1333,Emperor Valerian,frozen_hold,2.9e-05,0.0,0.0013,0.0019,True,1.000022,0.0022,0.0016,-0.0012,0.0006,1.0,5.2e-05,0.0
39,3886,4040,129.5333,134.6667,02:09.533,02:14.667,5.1333,Emperor Valerian,frozen_hold,0.003838,0.009775,0.0037,-0.002,True,0.999896,-0.0104,-0.0037,0.0021,0.0031,0.98319,0.006682,0.017517
40,4040,4108,134.6667,136.9333,02:14.667,02:16.933,2.2667,Emperor Valerian,frozen_hold,0.00185,0.004644,0.0126,0.0011,True,1.000025,0.0025,-0.0053,0.001,-0.0126,0.99778,0.002786,0.008368
41,4108,4253,136.9333,141.7667,02:16.933,02:21.767,4.8333,Emperor Valerian,character_or_graphic_animation,0.049439,0.092864,0.0918,-0.0292,True,0.998587,-0.1413,-0.0298,0.0907,0.0142,0.8869,0.088927,0.173542
42,4253,4325,141.7667,144.1667,02:21.767,02:24.167,2.4,Emperor Valerian,frozen_hold,0.000114,0.0,0.0009,0.0002,True,1.000004,0.0004,-0.0004,-0.0004,-0.0008,0.99712,9e-05,0.0
43,4325,4360,144.1667,145.3333,02:24.167,02:25.333,1.1667,Emperor Valerian,frozen_hold,0.000184,0.0,0.0009,-0.0004,True,0.999995,-0.0005,-0.0005,0.0005,-0.0008,0.99928,0.000127,0.0
44,4360,4398,145.3333,146.6,02:25.333,02:26.600,1.2667,Emperor Valerian,frozen_hold,0.000159,0.0,0.0026,-0.0024,True,0.999969,-0.0031,0.0005,0.0013,0.0022,1.0,8.1e-05,0.0
45,4398,4511,146.6,150.3667,02:26.600,02:30.367,3.7667,Emperor Valerian,frozen_hold,0.005858,0.019584,0.0145,-0.0054,True,0.999796,-0.0204,0.0011,0.0118,0.0084,0.95658,0.011102,0.039132
46,4511,4584,150.3667,152.8,02:30.367,02:32.800,2.4333,Emperor Valerian,frozen_hold,0.007003,0.010226,0.0095,-0.0013,True,0.999969,-0.0031,-0.0074,0.0056,-0.0077,0.99686,0.014071,0.020451
47,4584,4839,152.8,161.3,02:32.800,02:41.300,8.5,Emperor Valerian,character_or_graphic_animation,0.108437,0.21204,3.8552,0.0328,True,1.002791,0.2791,-0.0911,3.8503,-0.1949,0.84545,0.149353,0.314965
48,4839,4991,161.3,166.3667,02:41.300,02:46.367,5.0667,Emperor Valerian,character_or_graphic_animation,0.045932,0.095356,17.6378,0.1599,True,1.008102,0.8102,-0.0306,17.6332,-0.4012,0.88513,0.209928,0.346979
49,4991,5053,166.3667,168.4333,02:46.367,02:48.433,2.0667,Emperor Valerian,subtle_local_motion,0.017914,0.023394,0.0173,-0.0011,True,0.999977,-0.0023,0.0151,-0.0077,0.0155,0.99175,0.035008,0.046788
50,5053,5195,168.4333,173.1667,02:48.433,02:53.167,4.7333,Emperor Valerian,subtle_local_motion,0.015309,0.037344,0.0092,0.0011,True,1.000052,0.0052,0.0002,-0.0033,-0.0086,0.81116,0.024071,0.054444
51,5195,5285,173.1667,176.1667,02:53.167,02:56.167,3.0,Emperor Valerian,frozen_hold,0.000647,1.7e-05,0.0038,-0.0009,True,0.999972,-0.0028,-0.0023,0.0023,-0.003,0.99895,0.000516,5.2e-05
52,5285,5431,176.1667,181.0333,02:56.167,03:01.033,4.8667,Emperor Valerian,character_or_graphic_animation,0.043969,0.084349,0.0138,0.0031,True,1.00015,0.015,-0.0036,-0.0039,-0.0132,0.92888,0.048776,0.086406
53,5431,5505,181.0333,183.5,03:01.033,03:03.500,2.4667,Emperor Valerian,subtle_local_motion,0.008587,0.021823,0.0,0.0,True,1.0,0.0,-0.0,0.0,0.0,0.86581,0.016819,0.043594
54,5505,5573,183.5,185.7667,03:03.500,03:05.767,2.2667,Emperor Valerian,frozen_hold,0.007018,0.011788,0.0,0.0,True,1.0,0.0,-0.0,0.0,0.0,0.99028,0.014177,0.023576
