shot,start_frame,end_frame_exclusive,start_seconds,end_seconds,start_timecode,end_timecode,duration_seconds,chapter,motion_class,sampled_mean_abs_rgb,sampled_changed_fraction,global_translation_total_pct,global_scale_speed_pct_per_s,valid,scale,scale_delta_pct,rotation_deg,translation_x_pct,translation_y_pct,inlier_ratio,residual_mean_abs,residual_changed_fraction
1,0,56,0.0,1.8667,00:00.000,00:01.867,1.8667,The Ambulance Attack,character_or_graphic_animation,0.208419,0.422864,40.3579,23.9561,True,1.44718,44.718,0.3136,29.6589,27.3698,0.65957,0.53886,0.698438
2,56,98,1.8667,3.2667,00:01.867,00:03.267,1.4,The Ambulance Attack,frozen_hold,0.0,0.0,0.0,0.0,True,1.0,0.0,-0.0,0.0,0.0,1.0,0.0,0.0
3,98,254,3.2667,8.4667,00:03.267,00:08.467,5.2,The Ambulance Attack,character_or_graphic_animation,0.017338,0.045912,0.0065,-0.0008,True,0.99996,-0.004,0.0052,-0.0018,0.0062,0.8852,0.033186,0.08842
4,254,399,8.4667,13.3,00:08.467,00:13.300,4.8333,The Ambulance Attack,character_or_graphic_animation,0.028631,0.093324,0.0171,0.0018,True,1.000086,0.0086,0.0011,-0.0113,-0.0128,0.70307,0.039184,0.133993
5,399,429,13.3,14.3,00:13.300,00:14.300,1.0,The Ambulance Attack,frozen_hold,0.000888,0.002908,0.0029,-0.0014,True,0.999986,-0.0014,0.0022,0.001,-0.0027,0.98628,0.001629,0.005799
6,429,481,14.3,16.0333,00:14.300,00:16.033,1.7333,The Ambulance Attack,subtle_local_motion,0.007692,0.020616,0.0233,-0.013,True,0.999775,-0.0225,-0.0146,0.0179,-0.0149,0.9868,0.016021,0.040712
7,481,521,16.0333,17.3667,00:16.033,00:17.367,1.3333,The Ambulance Attack,frozen_hold,0.000148,0.0,0.0008,-0.001,True,0.999987,-0.0013,-0.0003,0.0007,0.0004,0.99761,8.8e-05,0.0
8,521,537,17.3667,17.9,00:17.367,00:17.900,0.5333,The Ambulance Attack,frozen_hold,5.5e-05,0.0,0.0,0.0,True,1.0,0.0,-0.0,0.0,0.0,0.9991,3.7e-05,0.0
9,537,623,17.9,20.7667,00:17.900,00:20.767,2.8667,The Ambulance Attack,frozen_hold,9.9e-05,0.0,0.0029,0.0011,True,1.000031,0.0031,-0.0006,-0.0017,-0.0023,0.99914,0.000113,0.0
10,623,811,20.7667,27.0333,00:20.767,00:27.033,6.2667,The Ambulance Attack,character_or_graphic_animation,0.082729,0.113655,0.0,0.0,False,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
11,811,894,27.0333,29.8,00:27.033,00:29.800,2.7667,The Ambulance Attack,frozen_hold,0.003091,0.008394,0.0028,0.0002,True,1.000006,0.0006,0.0047,-0.0026,0.0011,0.99257,0.005067,0.012865
12,894,1064,29.8,35.4667,00:29.800,00:35.467,5.6667,The Ambulance Attack,character_or_graphic_animation,0.018304,0.032778,0.0604,-0.0034,True,0.99981,-0.019,0.0042,0.0117,0.0593,0.90647,0.036867,0.070538
13,1064,1179,35.4667,39.3,00:35.467,00:39.300,3.8333,The Ambulance Attack,subtle_local_motion,0.010112,0.029097,0.0187,-0.001,True,0.999962,-0.0038,-0.01,0.0049,-0.018,0.93789,0.019988,0.057378
14,1179,1524,39.3,50.8,00:39.300,00:50.800,11.5,The Ambulance Attack,character_or_graphic_animation,0.028244,0.138177,0.2237,-0.0219,True,0.997483,-0.2517,0.0656,0.1133,0.1929,0.72727,0.033049,0.16842
15,1524,1775,50.8,59.1667,00:50.800,00:59.167,8.3667,The Ambulance Attack,character_or_graphic_animation,0.031832,0.095712,0.0563,-0.0017,True,0.999856,-0.0144,0.0239,-0.0009,0.0563,0.5463,0.052251,0.158715
16,1775,1840,59.1667,61.3333,00:59.167,01:01.333,2.1667,The Ambulance Attack,character_or_graphic_animation,0.028619,0.11151,0.0065,0.0015,True,1.000033,0.0033,0.0027,-0.004,0.0051,0.98423,0.030673,0.138559
17,1840,1892,61.3333,63.0667,01:01.333,01:03.067,1.7333,The Ambulance Attack,frozen_hold,0.002979,0.009088,0.0034,0.0,True,1.0,-0.0,-0.0012,0.0007,-0.0033,0.99814,0.004374,0.013385
18,1892,1983,63.0667,66.1,01:03.067,01:06.100,3.0333,The Ambulance Attack,subtle_local_motion,0.009326,0.015095,0.0093,0.0006,True,1.000019,0.0019,0.0046,-0.0027,0.0089,0.97106,0.018332,0.030122
19,1983,2135,66.1,71.1667,01:06.100,01:11.167,5.0667,The Ambulance Attack,character_or_graphic_animation,0.031429,0.085824,2.385,-0.3142,True,0.984081,-1.5919,-0.9485,1.8367,-1.5214,0.72549,0.119503,0.311024
20,2135,2158,71.1667,71.9333,01:11.167,01:11.933,0.7667,Bishnu Shrestha's Train,character_or_graphic_animation,0.23248,0.517066,32.0168,0.1535,True,1.001177,0.1177,-0.0072,-32.0167,-0.0878,0.94531,0.244144,0.349757
21,2158,2205,71.9333,73.5,01:11.933,01:13.500,1.5667,Bishnu Shrestha's Train,frozen_hold,0.001304,0.0,0.0063,0.0007,True,1.000011,0.0011,0.0048,-0.0038,0.005,0.99538,0.001633,0.0
22,2205,2266,73.5,75.5333,01:13.500,01:15.533,2.0333,Bishnu Shrestha's Train,frozen_hold,1e-06,0.0,0.0,0.0,True,1.0,0.0,-0.0,0.0,0.0,1.0,2e-06,0.0
23,2266,2331,75.5333,77.7,01:15.533,01:17.700,2.1667,Bishnu Shrestha's Train,character_or_graphic_animation,0.036776,0.104054,0.0,0.0,True,1.0,0.0,-0.0,0.0,0.0,0.89474,0.060439,0.186944
24,2331,2433,77.7,81.1,01:17.700,01:21.100,3.4,Bishnu Shrestha's Train,subtle_local_motion,0.011614,0.019305,0.0041,0.0011,True,1.000039,0.0039,-0.0006,-0.0023,-0.0034,0.98305,0.021854,0.038611
25,2433,2610,81.1,87.0,01:21.100,01:27.000,5.9,Bishnu Shrestha's Train,character_or_graphic_animation,0.015969,0.046293,0.0335,-0.0045,True,0.999732,-0.0268,0.0094,0.0123,0.0312,0.94502,0.02894,0.085469
26,2610,2695,87.0,89.8333,01:27.000,01:29.833,2.8333,Bishnu Shrestha's Train,frozen_hold,0.003858,0.008438,0.0034,0.002,True,1.000057,0.0057,-0.0012,-0.0013,-0.0031,0.98607,0.006991,0.016736
27,2695,3111,89.8333,103.7,01:29.833,01:43.700,13.8667,Bishnu Shrestha's Train,character_or_graphic_animation,0.053336,0.136711,0.1007,0.0065,True,1.000903,0.0903,-0.0214,-0.0318,-0.0955,0.85577,0.069437,0.184566
28,3111,3217,103.7,107.2333,01:43.700,01:47.233,3.5333,Bishnu Shrestha's Train,frozen_hold,0.002669,0.007274,0.0045,-0.002,True,0.99993,-0.007,-0.0008,0.0031,0.0033,0.99516,0.004372,0.014566
29,3217,3274,107.2333,109.1333,01:47.233,01:49.133,1.9,Bishnu Shrestha's Train,frozen_hold,0.002105,0.003281,0.0,0.0,True,1.0,0.0,-0.0,0.0,0.0,0.9905,0.00434,0.006562
30,3274,3334,109.1333,111.1333,01:49.133,01:51.133,2.0,Bishnu Shrestha's Train,frozen_hold,0.00439,0.007812,0.0039,-0.0022,True,0.999957,-0.0043,-0.0022,0.0012,0.0037,0.9953,0.007881,0.015017
31,3334,3400,111.1333,113.3333,01:51.133,01:53.333,2.2,Bishnu Shrestha's Train,frozen_hold,0.000776,0.001814,0.0061,0.0015,True,1.000033,0.0033,-0.0015,-0.0007,-0.0061,0.95878,0.001437,0.003455
32,3400,3454,113.3333,115.1333,01:53.333,01:55.133,1.8,Bishnu Shrestha's Train,frozen_hold,0.004028,0.00737,0.0021,-0.0008,True,0.999985,-0.0015,-0.0018,0.0015,-0.0015,0.99852,0.00648,0.014757
33,3454,3551,115.1333,118.3667,01:55.133,01:58.367,3.2333,Bishnu Shrestha's Train,subtle_local_motion,0.01336,0.020147,0.0081,0.0031,True,1.000101,0.0101,0.005,-0.0065,0.0048,0.98942,0.027015,0.04026
34,3551,3658,118.3667,121.9333,01:58.367,02:01.933,3.5667,Bishnu Shrestha's Train,frozen_hold,0.002564,0.004054,0.0001,0.0001,True,1.000002,0.0002,0.0,-0.0001,0.0001,0.99398,0.00525,0.008125
35,3658,3764,121.9333,125.4667,02:01.933,02:05.467,3.5333,Bishnu Shrestha's Train,frozen_hold,0.002628,0.007361,0.0016,-0.0008,True,0.999972,-0.0028,0.0001,0.0015,0.0006,0.99693,0.004137,0.014618
36,3764,3990,125.4667,133.0,02:05.467,02:13.000,7.5333,Bishnu Shrestha's Train,character_or_graphic_animation,0.063188,0.163664,0.0082,-0.0062,True,0.999534,-0.0466,0.0066,0.0082,-0.0009,0.64103,0.092482,0.235104
37,3990,4074,133.0,135.8,02:13.000,02:15.800,2.8,Bishnu Shrestha's Train,frozen_hold,0.000132,0.0,0.0009,0.0005,True,1.000013,0.0013,0.0002,0.0001,-0.0009,0.9981,0.000119,0.0
38,4074,4395,135.8,146.5,02:15.800,02:26.500,10.7,Bishnu Shrestha's Train,character_or_graphic_animation,0.060824,0.160451,0.0683,-0.0088,True,0.999056,-0.0944,-0.0695,0.0362,-0.0579,0.85507,0.066955,0.199028
39,4395,4542,146.5,151.4,02:26.500,02:31.400,4.9,Bishnu Shrestha's Train,character_or_graphic_animation,0.044599,0.075651,11.0397,0.0023,True,1.000112,0.0112,0.0847,11.0396,0.0436,0.67488,0.155871,0.235417
40,4542,4763,151.4,158.7667,02:31.400,02:38.767,7.3667,Bishnu Shrestha's Train,character_or_graphic_animation,0.02444,0.037561,0.1004,0.0127,True,1.000938,0.0938,-0.072,0.0158,-0.0991,0.98795,0.05159,0.088576
41,4763,4786,158.7667,159.5333,02:38.767,02:39.533,0.7667,Bishnu Shrestha's Train,character_or_graphic_animation,0.255092,0.57007,30.7368,-0.0042,True,0.999968,-0.0032,-0.0175,-30.7368,-0.0365,0.92434,0.235365,0.341146
42,4786,4808,159.5333,160.2667,02:39.533,02:40.267,0.7333,The Viral Thief,frozen_hold,0.000611,0.0,0.0027,-0.0012,True,0.999991,-0.0009,0.0011,-0.0001,0.0027,0.99921,0.000725,0.0
43,4808,4862,160.2667,162.0667,02:40.267,02:42.067,1.8,The Viral Thief,frozen_hold,0.0,0.0,0.0,0.0,True,1.0,0.0,-0.0,0.0,0.0,1.0,1e-06,0.0
44,4862,4888,162.0667,162.9333,02:42.067,02:42.933,0.8667,The Viral Thief,frozen_hold,0.000226,0.0,0.0019,-0.0031,True,0.999973,-0.0027,0.0,0.0008,0.0017,1.0,0.000249,0.0
45,4888,4955,162.9333,165.1667,02:42.933,02:45.167,2.2333,The Viral Thief,frozen_hold,0.000459,0.0,0.0042,-0.0021,True,0.999952,-0.0048,0.0039,0.001,0.0041,0.99918,0.000397,0.0
46,4955,5110,165.1667,170.3333,02:45.167,02:50.333,5.1667,The Viral Thief,character_or_graphic_animation,0.076245,0.181979,16.2486,-1.4475,False,0.925215,-7.4785,2.1477,15.1957,5.7539,0.31132,0.255617,0.518437
47,5110,5163,170.3333,172.1,02:50.333,02:52.100,1.7667,The Viral Thief,frozen_hold,0.000195,0.0,0.0014,-0.0011,True,0.999981,-0.0019,0.0001,0.0009,0.0011,0.99848,0.000203,0.0
48,5163,5328,172.1,177.6,02:52.100,02:57.600,5.5,The Viral Thief,character_or_graphic_animation,0.126881,0.171459,94.5624,-15.9908,False,0.120505,-87.9495,144.7274,38.5716,86.3382,0.45,0.946342,0.972396
49,5328,5428,177.6,180.9333,02:57.600,03:00.933,3.3333,The Viral Thief,subtle_local_motion,0.010646,0.017717,0.0131,-0.001,True,0.999966,-0.0034,-0.0068,0.006,-0.0117,0.99409,0.020833,0.034028
50,5428,5476,180.9333,182.5333,03:00.933,03:02.533,1.6,The Viral Thief,frozen_hold,0.000137,0.0,0.0007,0.0005,True,1.000008,0.0008,0.0007,0.0,-0.0007,0.9983,0.000172,0.0
51,5476,5543,182.5333,184.7667,03:02.533,03:04.767,2.2333,The Viral Thief,frozen_hold,0.005392,0.01165,0.0291,-0.0002,True,0.999996,-0.0004,-0.0024,0.007,-0.0282,0.90756,0.00923,0.022951
52,5543,5626,184.7667,187.5333,03:04.767,03:07.533,2.7667,The Viral Thief,subtle_local_motion,0.008032,0.018611,0.0052,0.0033,True,1.00009,0.009,0.0066,-0.0048,0.0021,0.98855,0.006019,0.014531
53,5626,5649,187.5333,188.3,03:07.533,03:08.300,0.7667,The Viral Thief,frozen_hold,0.0,0.0,0.0,0.0,True,1.0,0.0,-0.0,0.0,0.0,1.0,0.0,0.0
54,5649,5828,188.3,194.2667,03:08.300,03:14.267,5.9667,The Viral Thief,character_or_graphic_animation,0.024275,0.042153,0.0158,-0.0009,True,0.999945,-0.0055,0.0096,-0.0014,0.0157,0.98614,0.049695,0.084306
55,5828,5860,194.2667,195.3333,03:14.267,03:15.333,1.0667,The Viral Thief,frozen_hold,0.006675,0.0125,0.0169,0.013,True,1.000139,0.0139,-0.0049,-0.0035,-0.0165,0.98377,0.012404,0.024965
56,5860,5992,195.3333,199.7333,03:15.333,03:19.733,4.4,The Viral Thief,character_or_graphic_animation,0.039815,0.084592,0.0139,-0.0025,True,0.999891,-0.0109,0.0161,-0.0045,0.0131,1.0,0.05623,0.115156
57,5992,6070,199.7333,202.3333,03:19.733,03:22.333,2.6,The Viral Thief,frozen_hold,0.003336,0.006624,0.0029,-0.0014,True,0.999964,-0.0036,0.0036,0.0007,0.0028,1.0,0.005724,0.013247
58,6070,6227,202.3333,207.5667,03:22.333,03:27.567,5.2333,The Viral Thief,character_or_graphic_animation,0.042363,0.097361,0.0025,-0.0002,True,0.999989,-0.0011,0.0014,0.0019,0.0016,0.97521,0.080833,0.194705
59,6227,6343,207.5667,211.4333,03:27.567,03:31.433,3.8667,The Viral Thief,character_or_graphic_animation,0.034525,0.071944,0.0078,-0.0021,True,0.999919,-0.0081,-0.0013,0.0077,0.0014,0.93878,0.066632,0.143108
60,6343,6437,211.4333,214.5667,03:31.433,03:34.567,3.1333,The Viral Thief,frozen_hold,0.005924,0.009505,0.0892,-0.0274,True,0.999142,-0.0858,-0.0642,0.0823,-0.0343,0.82857,0.015293,0.036302
61,6437,6460,214.5667,215.3333,03:34.567,03:35.333,0.7667,The Viral Thief,frozen_hold,2e-05,0.0,0.0004,0.0009,True,1.000007,0.0007,0.0001,-0.0003,-0.0003,1.0,3.4e-05,0.0
62,6460,6499,215.3333,216.6333,03:35.333,03:36.633,1.3,The Viral Thief,frozen_hold,0.00078,0.0,0.0035,-0.0022,True,0.999972,-0.0028,-0.0005,0.0029,-0.002,0.99824,0.000712,0.0
63,6499,6629,216.6333,220.9667,03:36.633,03:40.967,4.3333,The Viral Thief,frozen_hold,0.000217,0.0,0.0,0.0,True,1.0,0.0,-0.0,0.0,0.0,1.0,0.000172,0.0
64,6629,6647,220.9667,221.5667,03:40.967,03:41.567,0.6,The Viral Thief,frozen_hold,5e-06,0.0,0.0,0.0,True,1.0,0.0,-0.0,0.0,0.0,1.0,6e-06,0.0
