event,boundary_frame,timestamp_seconds,timestamp,preceding_shot_duration_seconds,chapter,transition_class,mean_abs_rgb,changed_fraction_gt20,changed_fraction_gt45,nearest_spoken_word,cut_minus_word_start_seconds
1,53,1.7667,00:01.767,1.7667,Sigurd the Mighty,hard_cut_full_frame,0.220749,0.478854,0.411233,sigurd,-0.0633
2,125,4.1667,00:04.167,2.4,Sigurd the Mighty,hard_cut_full_frame,0.240319,0.601632,0.426806,earned,-0.0633
3,225,7.5,00:07.500,3.3333,Sigurd the Mighty,hard_cut_full_frame,0.162983,0.485451,0.262396,but,-0.06
4,321,10.7,00:10.700,3.2,Sigurd the Mighty,hard_cut_same_palette,0.222443,0.401319,0.383802,one,-0.04
5,399,13.3,00:13.300,2.6,Sigurd the Mighty,hard_cut_full_frame,0.264167,0.463889,0.455503,who,-0.05
6,513,17.1,00:17.100,3.8,Sigurd the Mighty,hard_cut_full_frame,0.261838,0.461701,0.451771,to,-0.06
7,605,20.1667,00:20.167,3.0667,Sigurd the Mighty,hard_cut_same_palette,0.159308,0.286354,0.268854,each,-0.0533
8,659,21.9667,00:21.967,1.8,Sigurd the Mighty,hard_cut_same_palette,0.174631,0.34059,0.306615,sigurd,-0.0233
9,738,24.6,00:24.600,2.6333,Sigurd the Mighty,hard_cut_same_palette,0.163975,0.350694,0.297622,he,-0.03
10,809,26.9667,00:26.967,2.3667,Sigurd the Mighty,hard_cut_same_palette,0.168617,0.330365,0.291024,and,-0.0333
11,936,31.2,00:31.200,4.2333,Sigurd the Mighty,hard_cut_full_frame,0.242504,0.441753,0.427066,but,-0.06
12,1016,33.8667,00:33.867,2.6667,Sigurd the Mighty,hard_cut_full_frame,0.276784,0.463368,0.443646,as,-0.0333
13,1040,34.6667,00:34.667,0.8,Sigurd the Mighty,hard_cut_full_frame,0.251626,0.508021,0.446302,the,-0.0433
14,1200,40.0,00:40.000,5.3333,Sigurd the Mighty,hard_cut_full_frame,0.240868,0.501076,0.457726,and,-0.05
15,1336,44.5333,00:44.533,4.5333,Sigurd the Mighty,hard_cut_same_palette,0.202433,0.383368,0.366024,his,-0.0467
