video,beat_index,start_s,end_s,duration_s,duration_frames,image
16040.mp4,0,0.0,1.868,1.868,56.0,analysis/frames/16040/16040_beat_0000.png
16040.mp4,1,1.869,3.069,1.2,36.0,analysis/frames/16040/16040_beat_0001.png
16040.mp4,2,3.07,4.537,1.467,44.0,analysis/frames/16040/16040_beat_0002.png
16040.mp4,3,4.538,7.874,3.336,100.0,analysis/frames/16040/16040_beat_0003.png
16040.mp4,4,7.875,12.645,4.77,143.0,analysis/frames/16040/16040_beat_0004.png
16040.mp4,5,12.646,13.679,1.033,31.0,analysis/frames/16040/16040_beat_0005.png
16040.mp4,6,13.68,15.314,1.634,49.0,analysis/frames/16040/16040_beat_0006.png
16040.mp4,7,15.315,20.853,5.538,166.0,analysis/frames/16040/16040_beat_0007.png
16040.mp4,8,20.854,22.355,1.5,45.0,analysis/frames/16040/16040_beat_0008.png
16040.mp4,9,22.356,24.824,2.468,74.0,analysis/frames/16040/16040_beat_0009.png
16040.mp4,10,24.825,26.158,1.334,40.0,analysis/frames/16040/16040_beat_0010.png
16040.mp4,11,26.159,28.561,2.401,72.0,analysis/frames/16040/16040_beat_0011.png
16040.mp4,12,28.562,30.062,1.5,45.0,analysis/frames/16040/16040_beat_0012.png
16040.mp4,13,30.063,33.165,3.102,93.0,analysis/frames/16040/16040_beat_0013.png
16040.mp4,14,33.166,35.902,2.735,82.0,analysis/frames/16040/16040_beat_0014.png
16040.mp4,15,35.903,40.006,4.103,123.0,analysis/frames/16040/16040_beat_0015.png
16040.mp4,16,40.007,41.34,1.334,40.0,analysis/frames/16040/16040_beat_0016.png
16040.mp4,17,41.341,43.209,1.868,56.0,analysis/frames/16040/16040_beat_0017.png
16040.mp4,18,43.21,47.38,4.17,125.0,analysis/frames/16040/16040_beat_0018.png
16040.mp4,19,47.381,50.716,3.336,100.0,analysis/frames/16040/16040_beat_0019.png
16040.mp4,20,50.717,53.519,2.802,84.0,analysis/frames/16040/16040_beat_0020.png
16040.mp4,21,53.52,57.256,3.736,112.0,analysis/frames/16040/16040_beat_0021.png
16040.mp4,22,57.257,60.993,3.736,112.0,analysis/frames/16040/16040_beat_0022.png
16040.mp4,23,60.994,62.295,1.3,39.0,analysis/frames/16040/16040_beat_0023.png
16040.mp4,24,62.296,65.564,3.269,98.0,analysis/frames/16040/16040_beat_0024.png
16040.mp4,25,65.566,66.966,1.4,42.0,analysis/frames/16040/16040_beat_0025.png
16040.mp4,26,66.967,68.301,1.334,40.0,analysis/frames/16040/16040_beat_0026.png
16040.mp4,27,68.302,72.705,4.403,132.0,analysis/frames/16040/16040_beat_0027.png
16040.mp4,28,72.706,76.442,3.736,112.0,analysis/frames/16040/16040_beat_0028.png
16040.mp4,29,76.443,77.176,0.733,22.0,analysis/frames/16040/16040_beat_0029.png
16040.mp4,30,77.177,78.11,0.933,28.0,analysis/frames/16040/16040_beat_0030.png
16040.mp4,31,78.111,85.217,7.106,213.0,analysis/frames/16040/16040_beat_0031.png
16040.mp4,32,85.218,88.888,3.669,110.0,analysis/frames/16040/16040_beat_0032.png
16040.mp4,33,88.889,92.525,3.636,109.0,analysis/frames/16040/16040_beat_0033.png
16040.mp4,34,92.526,96.562,4.036,121.0,analysis/frames/16040/16040_beat_0034.png
16040.mp4,35,96.563,100.8,4.237,127.0,analysis/frames/16040/16040_beat_0035.png
16040.mp4,36,100.801,102.902,2.101,63.0,analysis/frames/16040/16040_beat_0036.png
16040.mp4,37,102.903,105.271,2.368,71.0,analysis/frames/16040/16040_beat_0037.png
16040.mp4,38,105.272,107.673,2.401,72.0,analysis/frames/16040/16040_beat_0038.png
16040.mp4,39,107.674,109.075,1.4,42.0,analysis/frames/16040/16040_beat_0039.png
16040.mp4,40,109.076,110.91,1.834,55.0,analysis/frames/16040/16040_beat_0040.png
16040.mp4,41,110.911,114.18,3.269,98.0,analysis/frames/16040/16040_beat_0041.png
16040.mp4,42,114.181,117.216,3.035,91.0,analysis/frames/16040/16040_beat_0042.png
16040.mp4,43,117.217,121.053,3.836,115.0,analysis/frames/16040/16040_beat_0043.png
16040.mp4,44,121.054,123.923,2.869,86.0,analysis/frames/16040/16040_beat_0044.png
16040.mp4,45,123.924,126.158,2.235,67.0,analysis/frames/16040/16040_beat_0045.png
16040.mp4,46,126.159,132.365,6.205,186.0,analysis/frames/16040/16040_beat_0046.png
16040.mp4,47,132.366,133.899,1.534,46.0,analysis/frames/16040/16040_beat_0047.png
16040.mp4,48,133.9,135.768,1.868,56.0,analysis/frames/16040/16040_beat_0048.png
16040.mp4,49,135.769,137.47,1.701,51.0,analysis/frames/16040/16040_beat_0049.png
16040.mp4,50,137.471,138.17,0.7,21.0,analysis/frames/16040/16040_beat_0050.png
16040.mp4,51,138.171,139.505,1.334,40.0,analysis/frames/16040/16040_beat_0051.png
16040.mp4,52,139.506,143.342,3.836,115.0,analysis/frames/16040/16040_beat_0052.png
16040.mp4,53,143.343,146.946,3.603,108.0,analysis/frames/16040/16040_beat_0053.png
