[Parsed_ebur128_0 @ 0x7fc498001cc0] t: 6.399977   TARGET:-23 LUFS    M: -22.6 S: -21.7     I: -21.6 LUFS       LRA:   0.9 LU  FTPK: -17.1 -17.1 dBFS  TPK:  -7.6  -7.6 dBFS
[Parsed_ebur128_0 @ 0x7fc498001cc0] t: 6.499977   TARGET:-23 LUFS    M: -23.1 S: -21.7     I: -21.6 LUFS       LRA:   0.9 LU  FTPK: -15.3 -15.3 dBFS  TPK:  -7.6  -7.6 dBFS
[Parsed_ebur128_0 @ 0x7fc498001cc0] t: 6.599977   TARGET:-23 LUFS    M: -23.5 S: -21.8     I: -21.6 LUFS       LRA:   0.9 LU  FTPK: -15.1 -15.1 dBFS  TPK:  -7.6  -7.6 dBFS
[Parsed_ebur128_0 @ 0x7fc498001cc0] t: 6.699977   TARGET:-23 LUFS    M: -23.9 S: -21.9     I: -21.7 LUFS       LRA:   0.9 LU  FTPK: -16.9 -16.9 dBFS  TPK:  -7.6  -7.6 dBFS
[Parsed_ebur128_0 @ 0x7fc498001cc0] t: 6.799977   TARGET:-23 LUFS    M: -21.6 S: -21.7     I: -21.7 LUFS       LRA:   0.9 LU  FTPK: -11.2 -11.2 dBFS  TPK:  -7.6  -7.6 dBFS
[Parsed_ebur128_0 @ 0x7fc498001cc0] t: 6.899977   TARGET:-23 LUFS    M: -20.2 S: -21.7     I: -21.6 LUFS       LRA:   0.9 LU  FTPK: -10.5 -10.5 dBFS  TPK:  -7.6  -7.6 dBFS
[Parsed_ebur128_0 @ 0x7fc498001cc0] t: 6.999977   TARGET:-23 LUFS    M: -18.9 S: -21.6     I: -21.6 LUFS       LRA:   0.9 LU  FTPK: -10.6 -10.6 dBFS  TPK:  -7.6  -7.6 dBFS
[Parsed_ebur128_0 @ 0x7fc498001cc0] t: 7.099977   TARGET:-23 LUFS    M: -19.1 S: -21.7     I: -21.5 LUFS       LRA:   0.9 LU  FTPK: -15.3 -15.3 dBFS  TPK:  -7.6  -7.6 dBFS
[Parsed_ebur128_0 @ 0x7fc498001cc0] t: 7.199977   TARGET:-23 LUFS    M: -20.4 S: -21.7     I: -21.5 LUFS       LRA:   0.9 LU  FTPK: -21.6 -21.6 dBFS  TPK:  -7.6  -7.6 dBFS
[Parsed_ebur128_0 @ 0x7fc498001cc0] t: 7.299977   TARGET:-23 LUFS    M: -22.0 S: -21.7     I: -21.5 LUFS       LRA:   0.9 LU  FTPK: -15.1 -15.1 dBFS  TPK:  -7.6  -7.6 dBFS
[Parsed_ebur128_0 @ 0x7fc498001cc0] t: 7.399977   TARGET:-23 LUFS    M: -25.0 S: -21.6     I: -21.5 LUFS       LRA:   0.8 LU  FTPK: -12.3 -12.3 dBFS  TPK:  -7.6  -7.6 dBFS
[Parsed_ebur128_0 @ 0x7fc498001cc0] t: 7.499977   TARGET:-23 LUFS    M: -24.9 S: -21.6     I: -21.6 LUFS       LRA:   0.8 LU  FTPK: -17.5 -17.5 dBFS  TPK:  -7.6  -7.6 dBFS
[Parsed_ebur128_0 @ 0x7fc498001cc0] t: 7.599977   TARGET:-23 LUFS    M: -25.5 S: -21.6     I: -21.6 LUFS       LRA:   0.8 LU  FTPK: -32.9 -32.9 dBFS  TPK:  -7.6  -7.6 dBFS
[Parsed_ebur128_0 @ 0x7fc498001cc0] t: 7.699977   TARGET:-23 LUFS    M: -27.7 S: -21.6     I: -21.7 LUFS       LRA:   0.8 LU  FTPK: -59.2 -59.2 dBFS  TPK:  -7.6  -7.6 dBFS
[Parsed_ebur128_0 @ 0x7fc498001cc0] t: 7.799977   TARGET:-23 LUFS    M: -32.4 S: -21.7     I: -21.7 LUFS       LRA:   0.8 LU  FTPK: -57.7 -57.7 dBFS  TPK:  -7.6  -7.6 dBFS
[Parsed_ebur128_0 @ 0x7fc498001cc0] t: 7.899977   TARGET:-23 LUFS    M: -54.0 S: -21.8     I: -21.7 LUFS       LRA:   0.8 LU  FTPK: -75.9 -75.9 dBFS  TPK:  -7.6  -7.6 dBFS
[Parsed_ebur128_0 @ 0x7fc498001cc0] t: 7.999977   TARGET:-23 LUFS    M: -72.4 S: -21.8     I: -21.7 LUFS       LRA:   0.8 LU  FTPK: -89.3 -89.3 dBFS  TPK:  -7.6  -7.6 dBFS
[Parsed_ebur128_0 @ 0x7fc498001cc0] t: 8.099977   TARGET:-23 LUFS    M: -76.8 S: -22.1     I: -21.7 LUFS       LRA:   0.8 LU  FTPK: -89.2 -89.2 dBFS  TPK:  -7.6  -7.6 dBFS
[Parsed_ebur128_0 @ 0x7fc498001cc0] t: 8.199977   TARGET:-23 LUFS    M: -98.3 S: -22.2     I: -21.7 LUFS       LRA:   0.8 LU  FTPK: -89.1 -89.1 dBFS  TPK:  -7.6  -7.6 dBFS
[Parsed_ebur128_0 @ 0x7fc498001cc0] t: 8.299977   TARGET:-23 LUFS    M:-100.9 S: -22.5     I: -21.7 LUFS       LRA:   0.9 LU  FTPK: -87.5 -87.5 dBFS  TPK:  -7.6  -7.6 dBFS
[Parsed_ebur128_0 @ 0x7fc498001cc0] t: 8.399977   TARGET:-23 LUFS    M: -50.8 S: -22.6     I: -21.7 LUFS       LRA:   0.9 LU  FTPK: -26.3 -26.3 dBFS  TPK:  -7.6  -7.6 dBFS
[Parsed_ebur128_0 @ 0x7fc498001cc0] t: 8.499977   TARGET:-23 LUFS    M: -21.4 S: -22.1     I: -21.7 LUFS       LRA:   0.9 LU  FTPK:  -8.8  -8.8 dBFS  TPK:  -7.6  -7.6 dBFS
[Parsed_ebur128_0 @ 0x7fc498001cc0] t: 8.599977   TARGET:-23 LUFS    M: -20.7 S: -22.0     I: -21.6 LUFS       LRA:   0.9 LU  FTPK: -13.4 -13.4 dBFS  TPK:  -7.6  -7.6 dBFS
