[Parsed_ebur128_0 @ 0x7f77ec001cc0] t: 6.399977   TARGET:-23 LUFS    M: -20.9 S: -20.2     I: -20.0 LUFS       LRA:   1.3 LU  FTPK: -10.4 -10.4 dBFS  TPK:  -7.1  -7.1 dBFS
[Parsed_ebur128_0 @ 0x7f77ec001cc0] t: 6.499977   TARGET:-23 LUFS    M: -21.2 S: -20.1     I: -20.0 LUFS       LRA:   1.3 LU  FTPK: -13.1 -13.1 dBFS  TPK:  -7.1  -7.1 dBFS
[Parsed_ebur128_0 @ 0x7f77ec001cc0] t: 6.599977   TARGET:-23 LUFS    M: -20.4 S: -19.9     I: -20.0 LUFS       LRA:   1.3 LU  FTPK: -13.4 -13.4 dBFS  TPK:  -7.1  -7.1 dBFS
[Parsed_ebur128_0 @ 0x7f77ec001cc0] t: 6.699977   TARGET:-23 LUFS    M: -20.5 S: -19.9     I: -20.0 LUFS       LRA:   1.3 LU  FTPK: -16.9 -16.9 dBFS  TPK:  -7.1  -7.1 dBFS
[Parsed_ebur128_0 @ 0x7f77ec001cc0] t: 6.799977   TARGET:-23 LUFS    M: -21.1 S: -19.9     I: -20.0 LUFS       LRA:   1.3 LU  FTPK: -13.6 -13.6 dBFS  TPK:  -7.1  -7.1 dBFS
[Parsed_ebur128_0 @ 0x7f77ec001cc0] t: 6.899977   TARGET:-23 LUFS    M: -22.4 S: -20.4     I: -20.0 LUFS       LRA:   1.3 LU  FTPK: -17.0 -17.0 dBFS  TPK:  -7.1  -7.1 dBFS
[Parsed_ebur128_0 @ 0x7f77ec001cc0] t: 6.999977   TARGET:-23 LUFS    M: -23.1 S: -20.7     I: -20.1 LUFS       LRA:   1.3 LU  FTPK: -15.0 -15.0 dBFS  TPK:  -7.1  -7.1 dBFS
[Parsed_ebur128_0 @ 0x7f77ec001cc0] t: 7.099977   TARGET:-23 LUFS    M: -22.3 S: -21.1     I: -20.1 LUFS       LRA:   1.3 LU  FTPK: -13.3 -13.3 dBFS  TPK:  -7.1  -7.1 dBFS
[Parsed_ebur128_0 @ 0x7f77ec001cc0] t: 7.199977   TARGET:-23 LUFS    M: -23.0 S: -21.4     I: -20.1 LUFS       LRA:   1.4 LU  FTPK: -13.2 -13.2 dBFS  TPK:  -7.1  -7.1 dBFS
[Parsed_ebur128_0 @ 0x7f77ec001cc0] t: 7.299977   TARGET:-23 LUFS    M: -23.1 S: -21.6     I: -20.2 LUFS       LRA:   1.6 LU  FTPK: -16.5 -16.5 dBFS  TPK:  -7.1  -7.1 dBFS
[Parsed_ebur128_0 @ 0x7f77ec001cc0] t: 7.399977   TARGET:-23 LUFS    M: -22.9 S: -21.5     I: -20.2 LUFS       LRA:   1.6 LU  FTPK:  -9.8  -9.8 dBFS  TPK:  -7.1  -7.1 dBFS
[Parsed_ebur128_0 @ 0x7f77ec001cc0] t: 7.499977   TARGET:-23 LUFS    M: -23.9 S: -21.5     I: -20.2 LUFS       LRA:   1.6 LU  FTPK: -12.1 -12.1 dBFS  TPK:  -7.1  -7.1 dBFS
[Parsed_ebur128_0 @ 0x7f77ec001cc0] t: 7.599977   TARGET:-23 LUFS    M: -24.3 S: -21.5     I: -20.3 LUFS       LRA:   1.7 LU  FTPK: -18.7 -18.7 dBFS  TPK:  -7.1  -7.1 dBFS
[Parsed_ebur128_0 @ 0x7f77ec001cc0] t: 7.699977   TARGET:-23 LUFS    M: -22.2 S: -21.4     I: -20.3 LUFS       LRA:   1.7 LU  FTPK: -12.6 -12.6 dBFS  TPK:  -7.1  -7.1 dBFS
[Parsed_ebur128_0 @ 0x7f77ec001cc0] t: 7.799977   TARGET:-23 LUFS    M: -23.1 S: -21.6     I: -20.3 LUFS       LRA:   1.7 LU  FTPK: -16.2 -16.2 dBFS  TPK:  -7.1  -7.1 dBFS
[Parsed_ebur128_0 @ 0x7f77ec001cc0] t: 7.899977   TARGET:-23 LUFS    M: -23.6 S: -21.9     I: -20.3 LUFS       LRA:   1.7 LU  FTPK: -16.9 -16.9 dBFS  TPK:  -7.1  -7.1 dBFS
[Parsed_ebur128_0 @ 0x7f77ec001cc0] t: 7.999977   TARGET:-23 LUFS    M: -23.4 S: -21.9     I: -20.4 LUFS       LRA:   1.8 LU  FTPK: -14.0 -14.0 dBFS  TPK:  -7.1  -7.1 dBFS
[Parsed_ebur128_0 @ 0x7f77ec001cc0] t: 8.099977   TARGET:-23 LUFS    M: -24.4 S: -22.2     I: -20.4 LUFS       LRA:   1.8 LU  FTPK: -13.8 -13.8 dBFS  TPK:  -7.1  -7.1 dBFS
[Parsed_ebur128_0 @ 0x7f77ec001cc0] t: 8.199977   TARGET:-23 LUFS    M: -24.2 S: -23.1     I: -20.4 LUFS       LRA:   1.8 LU  FTPK: -14.7 -14.7 dBFS  TPK:  -7.1  -7.1 dBFS
[Parsed_ebur128_0 @ 0x7f77ec001cc0] t: 8.299977   TARGET:-23 LUFS    M: -24.4 S: -23.1     I: -20.5 LUFS       LRA:   2.1 LU  FTPK: -14.8 -14.8 dBFS  TPK:  -7.1  -7.1 dBFS
[Parsed_ebur128_0 @ 0x7f77ec001cc0] t: 8.399977   TARGET:-23 LUFS    M: -25.1 S: -23.2     I: -20.5 LUFS       LRA:   2.1 LU  FTPK: -19.6 -19.6 dBFS  TPK:  -7.1  -7.1 dBFS
[Parsed_ebur128_0 @ 0x7f77ec001cc0] t: 8.499977   TARGET:-23 LUFS    M: -27.5 S: -23.2     I: -20.6 LUFS       LRA:   2.2 LU  FTPK: -17.5 -17.5 dBFS  TPK:  -7.1  -7.1 dBFS
[Parsed_ebur128_0 @ 0x7f77ec001cc0] t: 8.599977   TARGET:-23 LUFS    M: -25.9 S: -23.1     I: -20.6 LUFS       LRA:   2.4 LU  FTPK: -13.9 -13.9 dBFS  TPK:  -7.1  -7.1 dBFS
[Parsed_ebur128_0 @ 0x7f77ec001cc0] t: 8.699977   TARGET:-23 LUFS    M: -25.2 S: -23.1     I: -20.6 LUFS       LRA:   3.3 LU  FTPK: -15.3 -15.3 dBFS  TPK:  -7.1  -7.1 dBFS
[Parsed_ebur128_0 @ 0x7f77ec001cc0] t: 8.799977   TARGET:-23 LUFS    M: -24.6 S: -23.1     I: -20.7 LUFS       LRA:   3.3 LU  FTPK: -14.3 -14.3 dBFS  TPK:  -7.1  -7.1 dBFS
[Parsed_ebur128_0 @ 0x7f77ec001cc0] t: 8.899977   TARGET:-23 LUFS    M: -24.6 S: -23.1     I: -20.7 LUFS       LRA:   3.3 LU  FTPK: -18.8 -18.8 dBFS  TPK:  -7.1  -7.1 dBFS
[Parsed_ebur128_0 @ 0x7f77ec001cc0] t: 8.999977   TARGET:-23 LUFS    M: -27.3 S: -23.2     I: -20.7 LUFS       LRA:   3.3 LU  FTPK: -39.0 -39.0 dBFS  TPK:  -7.1  -7.1 dBFS
[Parsed_ebur128_0 @ 0x7f77ec001cc0] t: 9.099977   TARGET:-23 LUFS    M: -30.9 S: -23.5     I: -20.8 LUFS       LRA:   3.4 LU  FTPK: -53.2 -53.2 dBFS  TPK:  -7.1  -7.1 dBFS
[Parsed_ebur128_0 @ 0x7f77ec001cc0] t: 9.199977   TARGET:-23 LUFS    M: -35.8 S: -23.7     I: -20.8 LUFS       LRA:   3.4 LU  FTPK: -88.8 -88.8 dBFS  TPK:  -7.1  -7.1 dBFS
[Parsed_ebur128_0 @ 0x7f77ec001cc0] t: 9.299977   TARGET:-23 LUFS    M: -58.3 S: -23.9     I: -20.8 LUFS       LRA:   3.4 LU  FTPK: -88.8 -88.8 dBFS  TPK:  -7.1  -7.1 dBFS
[Parsed_ebur128_0 @ 0x7f77ec001cc0] t: 9.399977   TARGET:-23 LUFS    M: -74.0 S: -24.3     I: -20.8 LUFS       LRA:   3.4 LU  FTPK: -88.6 -88.6 dBFS  TPK:  -7.1  -7.1 dBFS
